src_ip,dst_ip,src_port,dst_port,protocol,packet_size,packet_count,data_transferred,session_duration,tcp_flags,device_id,os_version,app_usage,file_access,system_calls,cpu_usage,memory_usage,login_attempts,failed_logins,location_changes,unusual_activity,suspicious_processes,malicious_urls,malicious_files,exploit_attempts,label
172.24.178.48,172.27.4.222,19767,38900,TCP,70,84,2233,880,ACK,device2,LinuxUbuntu,49,48,755,94,30,1,1,1,1,1,1,0,1,0
192.168.222.197,192.168.193.34,12761,5465,ICMP,757,64,8577,34,ACK,device1,Windows10,62,41,784,59,82,0,2,0,0,0,1,0,1,1
10.49.142.154,172.17.32.137,24430,46254,TCP,527,20,2009,744,SYN,device2,MacOS,34,39,922,69,16,6,4,0,1,1,0,1,0,1
10.144.122.41,192.168.130.127,45350,5131,UDP,572,53,2369,67,FIN,device6,Windows10,3,16,593,61,66,4,0,0,0,1,1,0,1,1
172.16.188.159,172.31.101.32,34908,65143,ICMP,759,52,6254,101,FIN,device2,LinuxUbuntu,80,6,929,31,36,3,2,0,0,0,0,0,0,0
192.168.129.170,192.168.176.171,1225,7922,ICMP,150,16,4805,339,PSH,device2,iOS14,8,5,653,41,57,2,4,1,1,0,0,1,1,1
192.168.93.131,192.168.48.140,42810,4434,ICMP,239,77,4817,342,PSH,device2,Windows7,9,41,913,4,3,6,2,2,0,0,1,1,1,1
192.168.161.142,172.30.183.72,10891,36179,TCP,1378,7,8430,967,RST,device3,Windows7,3,41,575,74,92,1,1,2,0,1,0,0,1,0
10.252.225.251,10.149.8.4,60847,47450,TCP,1095,50,1788,561,RST,device6,Windows10,10,1,959,22,19,5,3,0,0,0,0,1,1,0
10.234.10.90,172.29.175.1,43291,58329,UDP,1039,8,6998,154,PSH,device6,Windows7,70,8,427,94,31,7,3,0,0,0,0,1,1,1
192.168.132.213,192.168.72.67,40964,11397,ICMP,353,10,2582,235,RST,device5,Windows10,23,48,892,38,89,2,0,0,0,1,1,1,1,1
172.17.157.155,10.7.225.184,47199,58331,UDP,454,95,5191,152,SYN,device5,Windows10,78,7,908,70,11,8,0,0,1,1,1,1,1,1
172.25.168.169,172.20.233.52,6047,20474,ICMP,1232,75,6736,483,PSH,device6,iOS14,62,18,525,2,68,0,0,1,0,0,1,0,1,0
10.178.50.195,10.132.90.179,15091,59466,UDP,215,62,11,973,ACK,device1,Windows7,41,39,169,16,95,5,2,2,1,0,0,0,0,1
10.97.135.191,10.167.38.37,3784,47659,UDP,236,35,8098,296,SYN,device6,LinuxUbuntu,79,49,230,89,50,8,2,0,1,0,1,0,1,0
172.26.80.233,172.30.85.163,40480,44956,ICMP,1379,21,7818,356,RST,device5,Windows7,0,13,211,24,50,8,0,0,1,1,0,0,0,1
172.31.166.89,172.25.233.117,11477,22404,UDP,751,71,1579,660,FIN,device1,Windows10,70,40,422,67,92,5,1,0,1,0,1,1,0,1
172.30.187.228,10.53.42.13,18591,39778,TCP,672,56,972,937,RST,device5,MacOS,23,28,743,80,39,5,2,1,0,1,0,0,0,0
10.150.250.103,10.24.53.40,650,51068,ICMP,1380,89,3852,2,SYN,device1,Windows10,40,3,526,91,56,0,2,2,1,0,0,1,0,0
10.136.12.3,10.193.49.90,39450,37649,ICMP,1450,15,8269,576,SYN,device1,Windows7,9,36,475,30,98,5,4,0,1,1,0,1,0,1
172.20.175.171,172.18.254.47,59037,32843,TCP,48,21,6951,296,ACK,device1,Android10,28,14,273,69,24,5,1,1,0,0,0,0,1,0
192.168.122.225,192.168.153.163,6807,26851,UDP,1246,37,3491,672,PSH,device3,LinuxUbuntu,24,18,257,84,77,2,1,0,1,1,1,1,1,1
10.108.55.239,172.30.82.119,45390,19267,UDP,1481,3,3595,588,PSH,device5,iOS14,37,30,418,75,53,1,3,0,1,1,0,0,1,0
192.168.202.46,172.18.55.23,6850,31848,UDP,344,62,6318,217,ACK,device1,MacOS,51,6,500,73,24,3,2,0,1,1,1,0,0,1
192.168.175.169,172.17.140.112,3950,1651,TCP,1053,47,102,665,SYN,device4,Windows7,92,38,683,43,18,9,4,0,0,1,0,1,1,1
10.76.69.122,172.18.214.80,18117,31379,TCP,532,97,3697,465,SYN,device1,LinuxUbuntu,53,19,783,68,79,8,0,1,0,0,1,0,0,0
172.16.241.158,10.40.212.148,65422,44764,UDP,979,39,4171,82,PSH,device6,LinuxUbuntu,5,20,417,12,15,3,2,1,0,1,0,1,0,0
10.2.58.68,10.190.145.77,16969,59878,UDP,45,22,5118,508,SYN,device1,Windows7,8,8,366,85,66,2,1,2,0,1,0,0,0,0
10.179.53.239,172.27.67.211,56344,16420,UDP,1145,52,8549,942,FIN,device6,Windows10,91,40,674,42,58,3,4,1,1,0,0,1,1,1
10.56.174.139,172.24.59.83,47302,10096,TCP,1047,38,2273,213,SYN,device4,iOS14,2,12,126,72,34,5,3,0,0,0,1,0,1,1
192.168.205.99,10.113.36.109,2629,35263,TCP,968,48,9502,436,SYN,device4,Windows7,48,3,335,50,35,1,1,1,0,1,0,1,0,1
172.18.42.22,192.168.0.131,8110,62794,UDP,1468,5,6989,464,PSH,device1,Windows7,88,49,837,33,79,7,0,1,1,0,0,0,0,1
192.168.62.203,192.168.114.118,35238,38468,ICMP,848,31,3331,177,RST,device2,Windows10,74,38,567,12,86,3,2,1,0,1,1,0,1,0
192.168.6.187,192.168.163.74,2729,34899,TCP,243,89,1613,732,FIN,device6,iOS14,78,13,699,59,63,3,1,0,0,0,1,0,1,0
172.26.82.247,10.164.226.1,965,23991,TCP,862,54,1435,228,SYN,device2,iOS14,39,38,852,64,79,9,4,2,0,1,0,1,0,1
192.168.8.44,192.168.53.100,38756,10239,ICMP,1344,70,8015,591,RST,device3,iOS14,18,18,718,25,4,6,0,0,1,1,0,0,1,1
10.23.7.126,172.29.54.53,56166,60134,TCP,293,4,213,302,ACK,device4,Android10,77,0,736,61,38,7,0,2,1,0,0,0,1,1
192.168.117.236,10.241.113.255,39797,62376,TCP,855,74,7421,798,SYN,device4,LinuxUbuntu,40,26,433,23,72,8,3,1,1,0,1,1,1,0
192.168.71.10,10.123.200.194,51555,54705,UDP,381,18,8287,548,ACK,device2,Windows7,95,29,303,18,38,1,3,2,0,1,1,1,0,1
10.167.85.118,10.241.8.210,3815,50090,ICMP,279,46,1733,380,SYN,device5,iOS14,68,24,808,14,57,6,2,0,1,1,0,0,1,1
192.168.61.52,192.168.117.116,47169,43896,UDP,641,73,1276,857,ACK,device6,iOS14,65,47,542,93,13,0,4,0,1,0,0,1,0,1
192.168.78.126,192.168.33.133,18542,7250,TCP,684,45,5761,582,SYN,device1,Windows7,6,43,963,4,42,6,0,0,0,0,1,0,0,0
192.168.165.107,172.23.217.174,26650,54140,TCP,395,46,9505,197,PSH,device1,Android10,73,33,574,46,25,7,4,2,0,0,0,0,1,0
192.168.244.161,172.27.11.134,28209,49369,ICMP,1469,67,4841,580,ACK,device6,iOS14,92,19,941,12,73,9,3,0,0,1,1,1,0,0
172.16.63.243,10.93.252.12,18472,48527,UDP,537,90,9921,957,SYN,device4,MacOS,24,49,626,2,42,1,0,2,1,1,1,1,0,1
172.29.59.108,172.31.123.44,1950,57332,ICMP,952,25,5039,360,SYN,device5,iOS14,13,27,584,70,24,8,3,2,0,1,1,0,1,0
192.168.203.121,10.129.169.20,41165,59588,ICMP,1484,21,6823,419,ACK,device6,LinuxUbuntu,80,41,126,85,42,4,4,0,1,1,0,1,1,1
172.16.42.186,10.11.25.212,50138,11745,UDP,937,82,1013,992,RST,device3,Windows10,77,35,404,56,3,6,2,1,0,0,0,1,1,1
172.16.20.26,172.23.13.30,62315,35277,UDP,731,23,509,770,RST,device1,Windows7,86,8,171,8,98,9,1,2,1,0,0,0,0,1
192.168.16.228,192.168.133.26,23115,58568,ICMP,1162,26,855,493,PSH,device4,iOS14,51,0,183,85,5,1,1,2,1,1,0,0,1,1
172.29.52.38,10.250.113.5,18739,13392,UDP,1245,85,3298,838,PSH,device3,LinuxUbuntu,26,20,815,3,79,9,1,2,1,1,1,1,1,1
172.21.181.131,10.99.102.163,2143,54459,UDP,320,5,9307,360,FIN,device2,Android10,58,14,718,68,59,7,3,1,0,1,1,1,0,0
192.168.92.37,192.168.107.121,6051,24239,ICMP,707,56,7358,952,SYN,device1,iOS14,77,28,530,95,60,9,1,1,0,1,0,1,0,1
192.168.32.44,192.168.106.180,53926,11807,TCP,1422,88,5652,385,FIN,device5,Windows10,63,48,775,43,66,3,0,0,1,1,1,1,0,1
10.138.158.72,172.25.58.73,59212,32131,ICMP,730,10,5149,88,ACK,device1,iOS14,46,3,570,15,60,8,3,2,0,0,0,0,0,1
192.168.5.185,172.22.112.27,8958,9970,UDP,1268,30,4721,642,PSH,device5,Windows7,82,41,927,35,76,8,4,1,1,0,0,1,0,0
10.229.141.126,192.168.82.155,35745,42108,TCP,300,89,5385,197,PSH,device2,Windows10,58,49,811,14,26,9,3,1,1,0,0,0,1,0
10.153.35.166,192.168.30.26,17994,22708,UDP,950,33,7999,768,RST,device6,iOS14,96,13,116,13,36,2,2,2,0,1,0,0,1,0
172.22.121.35,172.30.70.7,20883,1311,TCP,1317,63,6644,445,FIN,device5,LinuxUbuntu,33,20,565,7,38,1,0,0,1,1,1,1,1,0
10.233.248.1,172.23.28.141,21797,40198,ICMP,1463,3,1121,844,FIN,device4,Android10,13,20,336,61,76,6,3,1,1,1,0,1,0,0
10.103.141.170,192.168.128.42,11999,9012,ICMP,841,94,3640,539,SYN,device3,MacOS,62,32,205,66,17,8,0,0,0,0,0,1,1,0
192.168.189.39,10.180.205.139,5598,36542,ICMP,521,67,8973,859,PSH,device3,LinuxUbuntu,55,31,583,56,38,6,0,1,1,0,1,1,1,0
10.4.173.55,172.31.169.12,58831,15126,ICMP,607,80,1779,884,RST,device4,iOS14,37,36,530,89,58,2,1,2,0,0,1,1,1,1
10.5.33.175,172.17.224.108,34077,11943,UDP,1031,18,6728,618,RST,device3,Android10,98,48,877,83,17,9,4,2,0,1,1,1,1,1
192.168.100.5,192.168.89.224,47280,11131,TCP,698,80,5762,232,RST,device2,iOS14,86,44,850,75,80,7,4,2,1,0,0,0,0,0
192.168.209.119,10.196.8.85,59835,21516,TCP,704,91,7548,584,ACK,device2,Android10,69,16,189,60,81,0,1,2,0,0,0,1,1,1
172.29.3.186,192.168.65.108,62877,49123,ICMP,324,36,1480,903,ACK,device4,iOS14,38,39,568,35,29,8,2,0,1,1,1,1,0,0
172.16.22.47,10.166.97.134,21848,13382,UDP,1483,40,7447,616,ACK,device3,LinuxUbuntu,52,31,355,16,54,0,2,0,1,0,0,0,0,0
192.168.10.35,192.168.47.128,18169,58105,UDP,1486,33,840,279,FIN,device4,LinuxUbuntu,95,35,725,42,98,2,2,0,1,0,1,0,1,0
172.26.80.238,192.168.206.57,62753,33234,ICMP,186,76,6761,397,PSH,device5,iOS14,23,41,406,0,39,4,4,2,1,0,0,0,0,1
192.168.214.186,10.197.98.186,53025,16697,UDP,945,4,1016,710,SYN,device6,LinuxUbuntu,64,17,571,37,76,5,4,2,0,1,0,0,0,1
172.27.13.8,172.25.196.76,12351,61725,UDP,1189,74,6153,910,SYN,device5,Windows10,51,11,811,22,70,7,4,1,0,1,1,0,1,1
172.26.104.134,192.168.166.40,40327,1333,ICMP,727,17,299,950,RST,device4,LinuxUbuntu,33,36,350,65,97,5,0,1,0,0,1,1,1,1
10.109.216.156,172.25.92.34,20171,5518,ICMP,498,62,3516,97,RST,device1,Windows7,24,32,416,27,96,2,1,0,0,1,0,1,1,0
192.168.146.124,192.168.69.161,39322,1964,UDP,605,41,8842,353,FIN,device3,iOS14,70,43,282,83,83,6,4,1,0,0,0,1,0,1
172.21.236.22,172.30.78.233,30617,21682,UDP,737,95,737,215,FIN,device4,MacOS,42,43,655,91,91,6,4,2,0,0,1,1,1,0
10.139.166.156,192.168.230.185,41615,10317,ICMP,920,36,1353,934,SYN,device3,Android10,79,18,398,69,59,0,4,1,0,0,0,1,0,0
192.168.204.110,192.168.217.58,60634,20458,TCP,883,24,1518,652,SYN,device6,iOS14,89,40,410,78,31,2,4,1,0,0,1,1,0,0
192.168.54.3,192.168.244.112,12973,21195,UDP,954,37,3380,245,ACK,device6,Android10,69,18,219,54,3,4,2,1,0,1,0,1,0,1
192.168.36.19,10.243.87.208,31016,56670,ICMP,1190,11,590,257,FIN,device1,MacOS,39,44,708,81,38,5,3,2,1,1,1,1,1,1
172.26.117.188,192.168.102.13,55264,45410,ICMP,95,41,6768,477,PSH,device4,LinuxUbuntu,24,10,740,65,99,1,3,1,0,0,1,0,0,0
172.26.103.82,10.41.140.193,58472,16970,ICMP,1153,30,1452,360,RST,device4,Windows10,61,0,412,14,44,3,3,0,1,1,0,0,0,1
192.168.243.80,192.168.15.241,32247,32511,TCP,1488,61,7327,130,ACK,device1,Windows10,95,46,305,30,57,4,0,2,0,1,0,0,1,1
192.168.53.93,172.30.37.95,2152,23057,ICMP,1245,90,7476,795,PSH,device6,Android10,14,39,268,44,34,6,1,2,0,1,0,1,1,1
192.168.68.105,172.25.106.79,23392,1104,UDP,1328,31,4820,291,RST,device5,Windows7,91,5,163,26,48,6,2,0,0,1,1,1,1,0
172.26.234.199,192.168.117.76,38528,7607,TCP,1424,64,337,45,SYN,device5,Android10,97,6,617,79,43,6,2,1,0,1,0,0,0,0
192.168.170.243,172.17.215.203,27737,61855,TCP,45,73,7636,347,ACK,device5,LinuxUbuntu,41,21,537,38,21,2,3,2,0,0,1,1,0,0
172.31.188.32,192.168.40.39,18946,1806,UDP,66,89,2881,747,RST,device2,iOS14,71,31,641,54,83,5,0,0,1,0,1,1,1,1
172.30.130.147,172.28.203.188,33155,3326,ICMP,753,4,6397,641,ACK,device5,Windows7,50,3,190,99,19,9,0,0,0,0,1,0,0,0
172.28.253.37,192.168.94.155,4002,60457,UDP,40,24,1189,965,RST,device2,iOS14,27,32,563,85,36,4,2,0,1,0,0,1,0,1
10.51.211.198,10.56.140.8,42090,51464,UDP,1128,25,8674,345,ACK,device6,Android10,48,18,498,68,12,4,4,2,0,1,0,0,1,1
172.19.107.50,192.168.84.183,27695,33781,UDP,709,99,4202,218,PSH,device4,iOS14,22,34,832,34,47,3,1,1,1,1,1,0,1,0
172.29.136.83,10.98.85.250,46714,314,TCP,1077,23,6453,806,RST,device3,Windows10,89,18,796,98,84,9,1,2,1,1,1,1,0,1
172.30.130.41,192.168.63.61,4677,1363,TCP,1108,38,7993,2,PSH,device6,Windows7,26,15,555,57,36,9,4,1,0,1,0,1,0,1
10.238.21.185,192.168.188.253,22718,16898,TCP,1037,4,2419,700,SYN,device3,MacOS,26,11,417,8,98,4,3,1,1,0,1,1,0,0
192.168.28.43,10.194.94.71,57428,52585,ICMP,431,11,4719,133,SYN,device6,MacOS,21,41,756,37,91,0,0,0,1,0,1,0,0,0
172.29.122.72,10.199.73.117,30535,60005,TCP,314,47,8535,176,SYN,device5,iOS14,68,0,704,29,13,6,2,1,0,0,0,1,0,1
192.168.27.247,10.107.118.91,49017,39545,UDP,156,20,3201,717,ACK,device6,Windows7,5,10,312,12,72,8,1,1,0,1,1,0,0,0
172.17.44.96,10.30.123.42,25539,23257,TCP,1495,24,2656,803,RST,device3,MacOS,30,26,729,68,39,1,0,2,1,0,0,0,1,0
172.30.160.56,192.168.96.107,48966,1896,TCP,953,87,5901,137,FIN,device6,Android10,35,47,277,5,38,9,2,1,0,1,1,0,1,1
172.19.27.188,192.168.37.3,18924,40386,ICMP,1108,62,8470,740,ACK,device1,MacOS,55,4,567,26,25,6,0,1,0,1,1,1,1,1
192.168.108.93,172.19.191.75,33617,26102,UDP,1192,88,6098,672,RST,device1,MacOS,22,46,127,42,91,5,2,0,0,1,0,1,0,1
172.19.164.141,10.206.137.175,23736,8,UDP,1369,13,4506,45,SYN,device6,Windows7,63,32,343,1,87,0,1,0,0,1,1,0,0,0
10.213.94.99,192.168.218.89,14367,20283,UDP,263,18,4291,424,RST,device2,LinuxUbuntu,87,31,946,17,83,1,0,1,1,0,1,1,1,1
172.24.211.74,192.168.197.45,60435,31347,TCP,1459,42,9894,240,FIN,device6,Android10,1,31,804,79,55,0,4,2,1,1,0,0,1,1
192.168.100.125,172.16.29.192,14970,43689,UDP,868,24,3762,800,ACK,device5,Windows7,92,49,829,26,81,8,4,1,1,0,0,1,1,0
192.168.242.210,192.168.231.47,36189,50988,TCP,476,6,1527,949,SYN,device4,LinuxUbuntu,22,17,843,88,85,1,0,2,1,0,0,0,0,1
10.184.35.28,192.168.105.183,43561,35042,ICMP,638,48,5933,246,SYN,device4,Android10,55,11,277,71,88,8,4,0,0,0,1,0,0,0
192.168.143.116,172.21.243.121,13371,6680,ICMP,518,55,2813,339,SYN,device6,MacOS,1,23,273,18,91,1,2,0,0,1,0,1,1,1
192.168.179.47,10.136.248.150,55391,42329,TCP,512,78,7317,121,FIN,device2,Windows7,89,4,104,47,44,4,2,1,1,1,1,0,0,0
172.20.154.157,172.27.151.136,3784,19663,TCP,1190,51,9824,228,ACK,device1,Windows10,4,22,586,70,58,4,1,1,1,1,1,1,1,1
192.168.72.129,192.168.177.182,41457,16913,ICMP,1314,26,4303,263,PSH,device5,LinuxUbuntu,94,35,603,31,37,1,3,1,1,1,1,0,0,1
192.168.11.245,192.168.36.51,30619,2229,UDP,1218,90,3971,912,SYN,device5,LinuxUbuntu,92,35,173,48,78,9,4,1,0,1,1,0,0,0
172.28.24.222,172.27.28.244,36430,46257,UDP,991,13,2366,124,FIN,device1,iOS14,89,36,560,79,89,6,3,2,1,0,0,0,0,0
192.168.46.214,192.168.39.62,63956,61419,UDP,257,98,2316,823,ACK,device2,Windows7,69,41,367,4,38,3,4,1,0,0,0,0,1,1
172.28.103.58,10.239.126.4,43659,23956,TCP,127,24,72,187,ACK,device2,MacOS,28,8,104,47,32,1,1,1,1,1,0,1,0,0
172.19.224.100,10.156.176.6,47833,45190,UDP,533,16,4489,805,SYN,device4,MacOS,5,14,241,56,7,4,3,1,0,0,0,1,0,0
192.168.138.22,192.168.47.62,65226,62995,UDP,158,80,3270,945,PSH,device2,Android10,48,36,662,53,94,3,3,0,1,0,1,1,1,0
192.168.178.0,10.199.192.18,36425,65248,UDP,1262,25,9953,843,PSH,device4,LinuxUbuntu,10,43,763,52,37,6,1,1,0,1,1,1,0,0
192.168.80.164,172.22.17.131,57331,24731,ICMP,237,96,5525,112,ACK,device5,iOS14,85,48,585,49,61,6,1,2,0,1,0,1,1,1
10.2.159.172,192.168.93.188,24338,20447,ICMP,902,45,7025,466,RST,device3,Android10,56,48,205,73,4,4,2,0,1,1,1,0,0,1
10.175.163.158,192.168.98.199,23037,54218,ICMP,354,61,9342,66,PSH,device1,Windows7,89,34,608,92,49,4,1,2,1,1,0,1,1,0
172.24.21.143,10.167.67.244,63821,19896,UDP,1289,60,1236,413,SYN,device5,Windows10,2,36,597,28,24,7,2,2,1,0,0,1,1,0
10.181.167.151,192.168.123.255,46343,24511,UDP,813,21,3676,180,ACK,device4,Windows7,9,32,268,84,34,8,0,0,1,0,1,1,0,0
10.67.80.181,10.4.237.94,52422,12225,TCP,489,98,9013,147,SYN,device2,MacOS,44,10,954,42,39,4,2,1,0,1,1,1,0,1
10.213.111.70,192.168.98.96,19788,53230,UDP,1172,24,5110,747,ACK,device3,Windows10,89,14,131,67,79,2,2,2,0,1,1,0,0,0
192.168.247.134,192.168.177.68,60671,14132,ICMP,660,97,5298,61,FIN,device1,Windows7,93,39,718,4,50,7,1,2,1,0,0,1,1,0
192.168.240.58,10.36.49.67,29841,15,UDP,691,75,3130,503,PSH,device3,iOS14,87,26,873,83,2,2,3,0,1,1,0,1,1,0
10.205.100.200,172.23.41.15,51183,23670,TCP,665,53,7272,520,SYN,device1,LinuxUbuntu,12,22,906,46,8,2,2,1,1,1,0,0,1,1
10.204.54.137,10.171.151.151,58825,36995,UDP,962,54,973,855,PSH,device1,iOS14,90,33,302,18,2,8,3,0,1,1,1,1,1,1
192.168.117.101,10.35.49.206,7099,41463,UDP,1445,8,4977,803,PSH,device6,LinuxUbuntu,93,13,160,65,52,6,2,2,0,0,1,1,1,0
10.60.53.32,10.223.84.210,44748,54166,TCP,604,50,2704,710,PSH,device2,Android10,18,14,463,30,6,6,1,0,0,1,1,0,0,0
10.35.102.120,10.63.74.186,54644,23227,ICMP,1202,3,8355,614,ACK,device6,Windows7,78,14,200,31,87,3,4,2,1,0,0,1,1,0
10.199.124.213,192.168.155.189,37517,43149,ICMP,557,26,2949,797,ACK,device4,Windows7,92,4,565,79,60,5,1,1,0,0,0,0,1,1
192.168.197.26,192.168.235.20,36163,5178,TCP,551,18,9156,726,RST,device2,iOS14,80,41,773,9,29,2,4,2,1,0,0,1,0,0
10.234.99.128,172.25.16.70,45872,9620,UDP,236,28,6758,664,ACK,device5,iOS14,74,38,634,58,76,2,0,1,1,0,1,1,1,0
10.154.131.79,192.168.36.166,46986,18804,ICMP,280,22,42,229,SYN,device3,Windows10,1,44,749,43,53,3,3,1,1,1,1,1,0,1
10.250.164.223,192.168.109.180,28252,55622,ICMP,202,47,1258,996,PSH,device3,LinuxUbuntu,63,23,289,98,89,9,4,1,1,0,1,1,1,1
10.186.181.49,10.127.59.187,24897,48810,UDP,1397,10,2229,276,PSH,device1,Android10,93,16,602,31,1,5,4,2,1,0,0,0,1,1
172.20.151.174,192.168.58.18,23338,50019,UDP,1388,15,6823,287,RST,device5,Windows7,11,25,956,54,86,0,4,0,0,1,1,1,0,0
172.28.71.20,192.168.153.230,10586,63592,ICMP,1430,89,9097,638,ACK,device5,Windows7,80,10,161,74,2,8,2,1,0,1,0,1,0,1
192.168.156.17,192.168.73.151,2321,40607,TCP,172,41,1801,24,ACK,device6,Windows7,18,24,533,67,21,5,4,0,1,1,0,1,1,0
192.168.21.1,172.16.157.28,45089,23949,TCP,486,13,1616,611,SYN,device1,iOS14,59,38,168,54,46,2,4,1,0,1,1,0,0,0
192.168.52.242,172.19.77.94,2438,15124,ICMP,1483,69,270,463,SYN,device2,Android10,58,12,173,47,29,0,3,0,1,0,0,1,1,0
10.72.93.64,10.3.155.88,53993,29066,ICMP,1471,68,9176,464,ACK,device1,LinuxUbuntu,32,15,969,11,26,7,3,0,1,0,0,1,1,1
10.193.163.51,10.25.22.127,27288,51975,TCP,1361,76,2959,241,RST,device6,Windows7,34,30,485,73,60,8,1,1,1,1,1,0,1,0
172.24.176.127,192.168.7.195,8572,10565,UDP,381,10,9783,63,SYN,device1,iOS14,57,16,707,8,23,9,4,1,0,0,0,1,1,1
10.84.39.90,172.22.58.64,43098,29696,UDP,771,98,7361,188,RST,device1,iOS14,50,16,654,3,10,5,3,0,0,0,0,0,0,0
10.178.186.136,192.168.207.103,44957,54597,UDP,1271,57,238,305,PSH,device6,Android10,39,13,538,97,61,4,0,2,0,1,1,0,1,1
172.26.203.240,172.23.179.87,31448,61225,ICMP,1082,84,5130,522,FIN,device6,LinuxUbuntu,89,33,309,44,24,9,3,0,1,0,0,0,1,0
10.216.202.238,172.17.101.28,58818,62347,TCP,899,85,3180,586,RST,device2,Android10,61,11,303,58,4,1,2,1,0,0,0,0,1,1
192.168.214.253,172.23.165.204,6968,19806,TCP,1442,66,8734,530,FIN,device6,Android10,2,0,377,80,13,1,3,2,0,0,0,0,1,1
10.107.51.253,172.24.67.97,43526,383,ICMP,638,52,9355,966,RST,device5,Windows10,90,12,975,85,16,5,0,2,0,0,1,1,1,0
192.168.170.17,10.254.176.72,64035,60392,UDP,1320,63,4115,841,ACK,device4,MacOS,83,34,954,82,96,9,2,0,1,1,0,1,1,1
192.168.228.167,192.168.133.163,15377,15714,TCP,1198,66,1168,759,ACK,device2,Android10,21,35,387,97,78,2,4,0,0,0,1,1,0,0
10.185.23.4,10.43.88.239,6083,63301,TCP,514,5,7360,201,SYN,device5,LinuxUbuntu,51,0,512,13,9,8,2,0,1,0,0,0,1,0
192.168.200.215,192.168.172.15,719,65514,TCP,1228,68,6927,119,FIN,device5,iOS14,31,21,761,80,66,2,0,0,0,0,1,0,1,1
192.168.111.245,10.211.19.110,40695,17282,TCP,139,40,5959,146,SYN,device4,Android10,86,40,856,18,75,9,4,0,0,1,1,1,1,0
172.26.207.21,172.19.80.114,6031,27104,ICMP,334,54,1973,557,ACK,device1,Windows7,58,48,576,92,19,2,3,2,0,1,1,1,1,0
172.22.171.32,192.168.109.236,32333,41106,UDP,1477,25,2762,420,FIN,device3,Windows7,96,1,204,36,16,7,4,2,0,0,0,1,1,1
192.168.6.192,172.30.98.108,24601,17788,TCP,845,22,2706,43,FIN,device3,iOS14,77,25,534,32,55,7,3,2,0,1,1,1,0,0
